Column1;Команда №1;Команда №2;Счёт
;Уфа;Динамо;1 : 1
;Локомотив;Спартак;0 : 0
;Арсенал Т;Ахмат;1 : 0
;Амкар;Арсенал Т;0 : 2
;Уфа;Анжи;3 : 2
;Динамо;Краснодар;0 : 0
;Тосно;Рубин;0 : 1
;Ростов;Зенит;0 : 0
;Ахмат;ЦСКА;0 : 3
;Спартак;СКА-Хабаровск;1 : 0
;Урал;Локомотив;0 : 2
;СКА-Хабаровск;Урал;0 : 3
;Арсенал Т;Ростов;2 : 2
;Краснодар;Уфа;0 : 1
;Анжи;Тосно;2 : 0
;Рубин;Спартак;1 : 2
;Локомотив;Ахмат;0 : 0
;Зенит;Динамо;2 : 1
;ЦСКА;Амкар;3 : 0
;Амкар;Локомотив;2 : 1
;Ахмат;СКА-Хабаровск;0 : 0
;Динамо;Арсенал Т;2 : 1
;Спартак;Тосно;2 : 1
;Урал;Рубин;1 : 1
;Уфа;Зенит;1 : 2
;Краснодар;Анжи;1 : 1
;Ростов;ЦСКА;1 : 2
;СКА-Хабаровск;Амкар;0 : 2
;Рубин;Ахмат;3 : 2
;Зенит;Краснодар;1 : 2
;Арсенал Т;Уфа;2 : 1
;Тосно;Урал;2 : 2
;Локомотив;Ростов;1 : 0
;Анжи;Спартак;1 : 4
;ЦСКА;Динамо;1 : 2
;Ахмат;Тосно;1 : 0
;Амкар;Рубин;0 : 3
;Динамо;Локомотив;0 : 4
;Зенит;Анжи;1 : 0
;Краснодар;Арсенал Т;3 : 0
;Урал;Спартак;2 : 1
;Уфа;ЦСКА;1 : 1
;Ростов;СКА-Хабаровск;2 : 0
;Рубин;Ростов;1 : 1
;Анжи;Урал;0 : 1
;СКА-Хабаровск;Динамо;0 : 1
;Арсенал Т;Зенит;3 : 3
;Тосно;Амкар;0 : 2
;ЦСКА;Краснодар;2 : 1
;Локомотив;Уфа;0 : 0
;Спартак;Ахмат;1 : 3
;Арсенал Т;Анжи;2 : 1
;Амкар;Спартак;0 : 2
;Зенит;ЦСКА;0 : 0
;Ростов;Тосно;2 : 0
;Уфа;СКА-Хабаровск;1 : 0
;Динамо;Рубин;0 : 0
;Ахмат;Урал;0 : 0
;Краснодар;Локомотив;2 : 0
;СКА-Хабаровск;Краснодар;0 : 1
;Тосно;Динамо;1 : 2
;Локомотив;Зенит;1 : 0
;Спартак;Ростов;2 : 0
;Урал;Амкар;0 : 2
;ЦСКА;Арсенал Т;6 : 0
;Анжи;Ахмат;0 : 2
;Рубин;Уфа;0 : 0
;ЦСКА;Анжи;2 : 1
;Арсенал Т;Локомотив;2 : 0
;Зенит;СКА-Хабаровск;6 : 0
;Краснодар;Рубин;1 : 1
;Уфа;Тосно;5 : 0
;Спартак;Динамо;0 : 1
;Ростов;Урал;1 : 0
;Амкар;Ахмат;0 : 0
;Урал;Анжи;0 : 1
;Спартак;Оренбург;1 : 0
;Ростов;Ахмат;1 : 0
;Енисей;Зенит;0 : 2
;Арсенал Т;Динамо;0 : 0
;Рубин;Краснодар;2 : 1
;Уфа;Локомотив;0 : 0
;Крылья Советов;ЦСКА;0 : 0
;Динамо;Рубин;1 : 1
;Урал;Краснодар;1 : 2
;Зенит;Арсенал Т;1 : 0
;Локомотив;Спартак;0 : 0
;Крылья Советов;Оренбург;0 : 3
;ЦСКА;Ростов;0 : 1
;Ахмат;Енисей;1 : 0
;Уфа;Анжи;3 : 0
;Урал;Динамо;1 : 1
;Енисей;ЦСКА;1 : 1
;Спартак;Анжи;1 : 0
;Ростов;Крылья Советов;0 : 1
;Оренбург;Локомотив;1 : 0
;Арсенал Т;Ахмат;3 : 1
;Уфа;Краснодар;0 : 1
;Рубин;Зенит;0 : 1
;Анжи;Оренбург;1 : 3
;ЦСКА;Арсенал Т;3 : 0
;Краснодар;Спартак;0 : 1
;Ахмат;Рубин;1 : 1
;Крылья Советов;Локомотив;0 : 1
;Зенит;Урал;4 : 1
;Ростов;Енисей;4 : 0
;Динамо;Уфа;3 : 0
;Арсенал Т;Ростов;0 : 1
;Урал;Ахмат;2 : 1
;Рубин;ЦСКА;1 : 1
;Спартак;Динамо;2 : 1
;Оренбург;Краснодар;1 : 1
;Уфа;Зенит;0 : 2
;Локомотив;Анжи;2 : 1
;Енисей;Крылья Советов;1 : 0
;Ростов;Рубин;1 : 1
;Крылья Советов;Анжи;1 : 0
;ЦСКА;Урал;4 : 0
;Краснодар;Локомотив;2 : 1
;Енисей;Арсенал Т;0 : 0
;Динамо;Оренбург;2 : 0
;Зенит;Спартак;0 : 0
;Ахмат;Уфа;2 : 1
;Локомотив;Динамо;1 : 1
;Рубин;Енисей;1 : 0
;Уфа;ЦСКА;0 : 3
;Арсенал Т;Крылья Советов;4 : 0
;Оренбург;Зенит;1 : 2
;Анжи;Краснодар;0 : 4
;Спартак;Ахмат;1 : 2
;Урал;Ростов;1 : 1
;Енисей;Урал;1 : 2
;Динамо;Анжи;0 : 1
;Арсенал Т;Рубин;2 : 2
;Ростов;Уфа;0 : 0
;Ахмат;Оренбург;1 : 1
;Зенит;Локомотив;5 : 3
;ЦСКА;Спартак;1 : 1
;Крылья Советов;Краснодар;0 : 3
;Оренбург;ЦСКА;0 : 1
;Урал;Арсенал Т;2 : 1
;Уфа;Енисей;2 : 1
;Локомотив;Ахмат;2 : 0
;Анжи;Зенит;2 : 1
;Краснодар;Динамо;3 : 0
;Спартак;Ростов;0 : 1
;Рубин;Крылья Советов;2 : 1
;Арсенал Т;Уфа;1 : 1
;Крылья Советов;Динамо;1 : 0
;Ростов;Оренбург;0 : 1
;Рубин;Урал;1 : 0
;Енисей;Спартак;2 : 3
;Ахмат;Анжи;0 : 0
;Зенит;Краснодар;2 : 1
;ЦСКА;Локомотив;0 : 1
;Анжи;ЦСКА;0 : 2
;Локомотив;Ростов;2 : 1
;Оренбург;Енисей;0 : 0
;Урал;Крылья Советов;1 : 1
;Уфа;Рубин;0 : 0
;Динамо;Зенит;1 : 0
;Спартак;Арсенал Т;2 : 3
;Краснодар;Ахмат;0 : 1
;Урал;Уфа;1 : 1
;Арсенал Т;Оренбург;2 : 2
;Ростов;Анжи;1 : 0
;Енисей;Локомотив;0 : 3
;Ахмат;Динамо;0 : 0
;ЦСКА;Краснодар;1 : 2
;Крылья Советов;Зенит;0 : 1
;Рубин;Спартак;1 : 1
;Локомотив;Арсенал Т;3 : 1
;Динамо;ЦСКА;0 : 0
;Зенит;Ахмат;1 : 0
;Краснодар;Ростов;2 : 2
;Спартак;Урал;1 : 2
;Оренбург;Рубин;1 : 0
;Уфа;Крылья Советов;1 : 2
;Анжи;Енисей;2 : 1
;Арсенал Т;Анжи;2 : 0
;Урал;Оренбург;2 : 1
;Крылья Советов;Ахмат;1 : 2
;Ростов;Динамо;0 : 0
;Уфа;Спартак;2 : 0
;Краснодар;Енисей;3 : 0
;Рубин;Локомотив;0 : 0
;ЦСКА;Зенит;2 : 0
;Ахмат;ЦСКА;0 : 2
;Локомотив;Урал;1 : 2
;Динамо;Енисей;1 : 2
;Оренбург;Уфа;1 : 0
;Анжи;Рубин;1 : 1
;Спартак;Крылья Советов;3 : 1
;Краснодар;Арсенал Т;3 : 0
;Зенит;Ростов;2 : 0
;Рубин;Динамо;1 : 1
;Енисей;Ахмат;1 : 1
;Анжи;Уфа;0 : 0
;Краснодар;Урал;2 : 0
;Ростов;ЦСКА;0 : 0
;Спартак;Локомотив;2 : 1
;Арсенал Т;Зенит;4 : 2
;Оренбург;Крылья Советов;3 : 1
;Крылья Советов;Ростов;1 : 0
;ЦСКА;Енисей;2 : 1
;Локомотив;Оренбург;2 : 1
;Анжи;Спартак;0 : 3
;Динамо;Урал;4 : 0
;Краснодар;Уфа;1 : 1
;Зенит;Рубин;1 : 2
;Ахмат;Арсенал Т;2 : 0
;Оренбург;Анжи;0 : 1
;Урал;Зенит;0 : 1
;Арсенал Т;ЦСКА;2 : 0
;Локомотив;Крылья Советов;2 : 2
;Рубин;Ахмат;1 : 0
;Уфа;Динамо;1 : 2
;Енисей;Ростов;1 : 1
;Спартак;Краснодар;1 : 1
;Крылья Советов;Енисей;4 : 0
;ЦСКА;Рубин;3 : 0
;Ростов;Арсенал Т;0 : 0
;Зенит;Уфа;2 : 1
;Динамо;Спартак;0 : 1
;Анжи;Локомотив;0 : 2
;Ахмат;Урал;1 : 1
;Краснодар;Оренбург;2 : 2
;Анжи;Крылья Советов;0 : 2
;Оренбург;Динамо;1 : 0
;Урал;ЦСКА;0 : 1
;Рубин;Ростов;0 : 2
;Арсенал Т;Енисей;2 : 0
;Уфа;Ахмат;0 : 1
;Локомотив;Краснодар;1 : 0
;Спартак;Зенит;1 : 1
;Крылья Советов;Арсенал Т;0 : 1
;Енисей;Рубин;1 : 1
;Динамо;Локомотив;0 : 1
;Ахмат;Спартак;1 : 3
;Ростов;Урал;2 : 1
;Зенит;Оренбург;3 : 1
;ЦСКА;Уфа;2 : 2
;Краснодар;Анжи;5 : 0
;Анжи;Динамо;1 : 1
;Краснодар;Крылья Советов;1 : 0
;Спартак;ЦСКА;0 : 2
;Уфа;Ростов;1 : 0
;Урал;Енисей;3 : 2
;Рубин;Арсенал Т;0 : 0
;Локомотив;Зенит;1 : 1
;Оренбург;Ахмат;1 : 3
;Крылья Советов;Рубин;1 : 0
;Енисей;Уфа;0 : 0
;Арсенал Т;Урал;0 : 0
;ЦСКА;Оренбург;2 : 3
;Ахмат;Локомотив;1 : 3
;Динамо;Краснодар;1 : 1
;Зенит;Анжи;5 : 0
;Ростов;Спартак;2 : 1
;Анжи;Ахмат;0 : 1
;Уфа;Арсенал Т;1 : 2
;Оренбург;Ростов;3 : 0
;Динамо;Крылья Советов;1 : 0
;Локомотив;ЦСКА;1 : 1
;Краснодар;Зенит;2 : 3
;Урал;Рубин;2 : 1
;Спартак;Енисей;2 : 0
;Ахмат;Краснодар;1 : 1
;Ростов;Локомотив;1 : 2
;Рубин;Уфа;1 : 1
;ЦСКА;Анжи;2 : 0
;Зенит;Динамо;2 : 0
;Енисей;Оренбург;2 : 1
;Крылья Советов;Урал;0 : 1
;Арсенал Т;Спартак;3 : 0
;Анжи;Ростов;1 : 1
;Динамо;Ахмат;0 : 0
;Уфа;Урал;4 : 1
;Локомотив;Енисей;2 : 1
;Зенит;Крылья Советов;4 : 2
;Краснодар;ЦСКА;2 : 0
;Оренбург;Арсенал Т;1 : 1
;Спартак;Рубин;1 : 1
;Енисей;Анжи;3 : 1
;Рубин;Оренбург;2 : 0
;Урал;Спартак;0 : 1
;Ахмат;Зенит;1 : 1
;Арсенал Т;Локомотив;2 : 0
;Крылья Советов;Уфа;1 : 1
;ЦСКА;Динамо;2 : 2
;Ростов;Краснодар;1 : 1
;Оренбург;Урал;2 : 2
;Динамо;Ростов;0 : 0
;Анжи;Арсенал Т;0 : 1
;Локомотив;Рубин;4 : 0
;Енисей;Краснодар;0 : 4
;Ахмат;Крылья Советов;2 : 1
;Спартак;Уфа;1 : 0
;Зенит;ЦСКА;3 : 1
;Уфа;Оренбург;0 : 2
;ЦСКА;Ахмат;1 : 0
;Крылья Советов;Спартак;1 : 2
;Урал;Локомотив;2 : 2
;Енисей;Динамо;2 : 2
;Арсенал Т;Краснодар;0 : 3
;Ростов;Зенит;1 : 0
;Рубин;Анжи;0 : 0
;ЦСКА;Крылья Советов;6 : 0
;Ахмат;Ростов;1 : 0
;Зенит;Енисей;4 : 1
;Динамо;Арсенал Т;3 : 3
;Краснодар;Рубин;1 : 0
;Анжи;Урал;0 : 2
;Локомотив;Уфа;1 : 0
;Оренбург;Спартак;2 : 0
;Ростов;Динамо;0 : 2
;Химки;Зенит;1 : 3
;Локомотив;Арсенал Т;3 : 1
;Рубин;Спартак;1 : 0
;Урал;Краснодар;0 : 3
;Крылья Советов;Ахмат;1 : 2
;ЦСКА;Уфа;1 : 0
;Нижний Новгород;Сочи;1 : 0
;Арсенал Т;Рубин;0 : 3
;Крылья Советов;Спартак;0 : 1
;Уфа;Динамо;2 : 3
;ЦСКА;Локомотив;1 : 2
;Урал;Нижний Новгород;1 : 1
;Краснодар;Химки;0 : 1
;Ростов;Зенит;2 : 4
;Ахмат;Сочи;1 : 2
;Уфа;Локомотив;1 : 1
;Зенит;Краснодар;3 : 2
;Арсенал Т;Крылья Советов;2 : 1
;Спартак;Нижний Новгород;1 : 2
;Химки;Ростов;1 : 1
;Динамо;ЦСКА;2 : 1
;Рубин;Ахмат;2 : 1
;Сочи;Урал;2 : 0
;Нижний Новгород;Уфа;1 : 2
;Спартак;Урал;1 : 0
;Ахмат;Динамо;2 : 1
;Ростов;ЦСКА;1 : 3
;Локомотив;Зенит;1 : 1
;Краснодар;Арсенал Т;3 : 2
;Рубин;Крылья Советов;1 : 1
;Сочи;Химки;3 : 0
;Арсенал Т;Спартак;1 : 1
;ЦСКА;Ахмат;2 : 0
;Урал;Динамо;0 : 1
;Уфа;Зенит;1 : 1
;Крылья Советов;Сочи;1 : 0
;Локомотив;Краснодар;2 : 1
;Нижний Новгород;Ростов;1 : 2
;Химки;Рубин;1 : 1
;Уфа;Крылья Советов;1 : 2
;Спартак;Сочи;1 : 2
;Ахмат;Арсенал Т;2 : 1
;Зенит;ЦСКА;1 : 0
;Урал;Ростов;1 : 1
;Химки;Нижний Новгород;1 : 1
;Динамо;Локомотив;1 : 1
;Краснодар;Рубин;2 : 0
;Локомотив;Крылья Советов;2 : 0
;Зенит;Ахмат;3 : 1
;Спартак;Химки;3 : 1
;Арсенал Т;ЦСКА;2 : 2
;Сочи;Уфа;3 : 1
;Динамо;Нижний Новгород;1 : 2
;Рубин;Урал;4 : 0
;Ростов;Краснодар;1 : 1
;Уфа;Химки;3 : 2
;Крылья Советов;Ростов;4 : 2
;Ахмат;Краснодар;0 : 2
;Нижний Новгород;Арсенал Т;2 : 3
;Сочи;Динамо;0 : 1
;Урал;Локомотив;0 : 0
;Рубин;Зенит;1 : 3
;ЦСКА;Спартак;1 : 0
;Химки;Локомотив;0 : 0
;Зенит;Крылья Советов;2 : 1
;Спартак;Уфа;2 : 0
;Динамо;Рубин;2 : 0
;Ростов;Ахмат;1 : 2
;Краснодар;Сочи;3 : 0
;Урал;Арсенал Т;2 : 0
;Нижний Новгород;ЦСКА;0 : 2
;Рубин;Нижний Новгород;0 : 1
;Динамо;Крылья Советов;0 : 1
;Арсенал Т;Химки;0 : 0
;ЦСКА;Краснодар;0 : 0
;Уфа;Урал;0 : 1
;Зенит;Сочи;1 : 2
;Ахмат;Спартак;0 : 1
;Локомотив;Ростов;1 : 2
;Арсенал Т;Зенит;2 : 1
;Рубин;Локомотив;2 : 2
;Сочи;Ростов;3 : 2
;Спартак;Динамо;2 : 2
;Урал;ЦСКА;0 : 1
;Крылья Советов;Нижний Новгород;2 : 0
;Химки;Ахмат;2 : 0
;Краснодар;Уфа;1 : 1
;Динамо;Химки;4 : 1
;Нижний Новгород;Краснодар;1 : 4
;Ростов;Арсенал Т;4 : 0
;ЦСКА;Крылья Советов;3 : 1
;Уфа;Рубин;1 : 1
;Ахмат;Урал;1 : 0
;Зенит;Спартак;7 : 1
;Локомотив;Сочи;2 : 1
;Зенит;Динамо;4 : 1
;Рубин;ЦСКА;1 : 0
;Спартак;Ростов;1 : 1
;Краснодар;Крылья Советов;0 : 1
;Нижний Новгород;Локомотив;1 : 2
;Уфа;Ахмат;1 : 0
;Арсенал Т;Сочи;1 : 2
;Химки;Урал;0 : 0
;Арсенал Т;Уфа;0 : 0
;Динамо;Краснодар;1 : 0
;Крылья Советов;Химки;3 : 0
;Сочи;ЦСКА;4 : 1
;Урал;Зенит;0 : 0
;Ростов;Рубин;5 : 1
;Ахмат;Нижний Новгород;3 : 1
;Спартак;Локомотив;1 : 1
;Зенит;Нижний Новгород;5 : 1
;Крылья Советов;Урал;1 : 1
;Локомотив;Ахмат;1 : 2
;Краснодар;Спартак;2 : 1
;Ростов;Уфа;2 : 2
;ЦСКА;Химки;0 : 0
;Динамо;Арсенал Т;5 : 1
;Сочи;Рубин;1 : 2
;Урал;Сочи;1 : 1
;Ахмат;Ростов;2 : 0
;Химки;Краснодар;3 : 3
;Нижний Новгород;Крылья Советов;0 : 0
;Рубин;Динамо;2 : 3
;ЦСКА;Зенит;0 : 2
;Уфа;Спартак;1 : 1
;Арсенал Т;Локомотив;3 : 1
;Зенит;Ростов;2 : 2
;Крылья Советов;ЦСКА;0 : 1
;Спартак;Ахмат;2 : 1
;Локомотив;Урал;0 : 1
;Химки;Арсенал Т;1 : 2
;Динамо;Уфа;2 : 0
;Нижний Новгород;Рубин;2 : 1
;Сочи;Краснодар;1 : 2
;Крылья Советов;Рубин;2 : 0
;ЦСКА;Арсенал Т;2 : 0
;Ростов;Урал;1 : 4
;Динамо;Зенит;1 : 1
;Ахмат;Химки;4 : 1
;Краснодар;Нижний Новгород;0 : 0
;Локомотив;Уфа;2 : 0
;Сочи;Спартак;3 : 0
;Нижний Новгород;Урал;1 : 0
;Химки;Динамо;0 : 3
;Сочи;Арсенал Т;2 : 0
;Спартак;ЦСКА;0 : 2
;Ахмат;Уфа;2 : 1
;Зенит;Рубин;3 : 2
;Ростов;Крылья Советов;1 : 0
;Краснодар;Локомотив;1 : 0
;ЦСКА;Нижний Новгород;1 : 0
;Крылья Советов;Арсенал Т;2 : 2
;Локомотив;Химки;3 : 2
;Динамо;Спартак;0 : 2
;Краснодар;Урал;2 : 1
;Зенит;Уфа;2 : 0
;Ростов;Сочи;0 : 1
;Ахмат;Рубин;1 : 2
;Уфа;Нижний Новгород;0 : 0
;Арсенал Т;Динамо;1 : 4
;Локомотив;ЦСКА;1 : 2
;Урал;Ахмат;0 : 0
;Химки;Сочи;0 : 0
;Крылья Советов;Зенит;1 : 1
;Спартак;Краснодар;1 : 2
;Рубин;Ростов;1 : 2
;Урал;Химки;0 : 1
;Нижний Новгород;Спартак;1 : 1
;Ахмат;Локомотив;2 : 3
;Зенит;Арсенал Т;3 : 0
;Уфа;Краснодар;1 : 1
;ЦСКА;Рубин;6 : 1
;Сочи;Крылья Советов;2 : 3
;Динамо;Ростов;1 : 1
;Рубин;Химки;2 : 3
;Арсенал Т;Ахмат;0 : 0
;Крылья Советов;Уфа;1 : 2
;Ростов;Нижний Новгород;1 : 2
;Локомотив;Спартак;1 : 0
;Краснодар;Динамо;0 : 1
;ЦСКА;Урал;2 : 2
;Сочи;Зенит;0 : 0
;Нижний Новгород;Динамо;0 : 1
;Химки;ЦСКА;4 : 2
;Рубин;Краснодар;0 : 1
;Ахмат;Зенит;0 : 2
;Урал;Крылья Советов;0 : 1
;Уфа;Сочи;1 : 2
;Спартак;Арсенал Т;3 : 0
;Ростов;Локомотив;4 : 1
;Динамо;Ахмат;2 : 0
;Уфа;ЦСКА;1 : 1
;Зенит;Урал;3 : 1
;Спартак;Рубин;1 : 1
;Арсенал Т;Ростов;1 : 2
;Крылья Советов;Краснодар;2 : 0
;Сочи;Локомотив;2 : 2
;Нижний Новгород;Химки;0 : 0
;Урал;Уфа;2 : 1
;Локомотив;Нижний Новгород;2 : 1
;Сочи;Ахмат;3 : 2
;Рубин;Арсенал Т;1 : 0
;Химки;Крылья Советов;4 : 1
;Ростов;Спартак;3 : 2
;ЦСКА;Динамо;1 : 0
;Краснодар;Зенит;1 : 3
;Динамо;Урал;2 : 3
;Рубин;Сочи;0 : 6
;Краснодар;Ростов;2 : 1
;Зенит;Локомотив;3 : 1
;Спартак;Крылья Советов;2 : 1
;Химки;Уфа;1 : 1
;Ахмат;ЦСКА;2 : 0
;Арсенал Т;Нижний Новгород;2 : 2
;Крылья Советов;Динамо;5 : 2
;Урал;Спартак;1 : 3
;Зенит;Химки;1 : 0
;Нижний Новгород;Ахмат;0 : 1
;ЦСКА;Сочи;0 : 1
